Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,KEVIN NOONAN,CMY,9502,ORGNC CHEM POLYMERS,A,Lect,3,3,100%,11,5,4.67,4.67,4.67,5,5,5,5,5
Spring,2015,KRZYSZTOF MATYJASZEWSKI,CMY,9502,ORGNC CHEM POLYMERS,A,Lect,2,4,50%,9.5,4.5,5,5,4,5,4.5,5,4.5,4.5
Spring,2013,KRZYSZTOF MATYJASZEWSKI,CMY,9502,ORGNC CHEM POLYMERS,A,Lect,1,3,33%,17,5,5,5,4,5,5,5,5,5
Spring,2012,KRZYSZTOF MATYJASZEWSKI,CMY,9502,ORGNC CHEM POLYMERS,A,Lect,1,3,33%,11,4,4,5,5,5,5,4,5,5
Spring,2011,KRZYSZTOF MATYJASZEWSKI,CMY,9502,ORGNC CHEM POLYMERS,A,Lect,2,4,50%,12.5,4.5,4.5,5,4.5,5,5,5,4.5,4
Spring,2010,KRZYSZTOF MATYJASZEWSKI,CMY,9502,ORGAN POLYMER CHEM,A,Lect,2,7,29%,14,5,5,5,4,5,4.5,5,4.5,4
Fall,2015,RONGCHAO JIN,CMY,9507,NANOPARTICLES,A,Lect,6,8,75%,9.8,4,4.17,4.17,3.83,3.83,3.67,4.67,4.17,4.33
Fall,2014,RONGCHAO JIN,CMY,9507,NANOPARTICLES,A,Lect,1,7,14%,5,4,4,4,4,5,5,5,4,4
Fall,2013,RONGCHAO JIN,CMY,9507,NANOPARTICLES,A,Lect,2,4,50%,6.5,5,4.5,4.5,4.5,5,4,5,4.5,4.5
Fall,2012,RONGCHAO JIN,CMY,9507,NANOPARTICLES,A,Lect,2,6,33%,5,4.5,4.5,4.5,4.5,4.5,4.5,5,4.5,4.5
Fall,2011,RONGCHAO JIN,CMY,9507,NANOPARTICLES,A,Lect,2,3,67%,6.5,4.5,3.5,4.5,3.5,5,4.5,4.5,4,3.5
Fall,2010,RONGCHAO JIN,CMY,9507,NANOPARTICLES,A,Lect,9,10,90%,7,3.67,4.11,3.89,4,4,4.11,4.44,3.89,4.11
Fall,2015,JAMES SCHNEIDER,CMY,9509,PHY CHEM MACROMOLEC,A,Lect,3,4,75%,8,5,4.67,4.67,4,5,4.33,5,5,5
Fall,2014,TOMASZ KOWALEWSKI,CMY,9509,PHY CHEM MACROMOLEC,A,Lect,1,5,20%,11,3,2,3,2,4,3,5,3,3
Fall,2013,JAMES SCHNEIDER,CMY,9509,PHY CHEM MACROMOLEC,A,Lect,2,3,67%,8,4.5,5,5,4,5,4.5,5,5,5
Fall,2012,TOMASZ KOWALEWSKI,CMY,9509,PHY CHEM MACROMOLEC,A,Lect,2,2,100%,9.5,4.5,3.5,4,4.5,4.5,4.5,5,4,4.5
Fall,2010,LYNN WALKER,CMY,9509,PHY CHEM MACROMOLEC,A,Lect,4,4,100%,9.5,4.75,4.5,4.75,3.75,4.75,4.25,5,4.75,4.5
Spring,2016,TERRENCE COLLINS,CMY,9510,CMSTY & SUSTAIN,A,Lect,6,8,75%,5.5,4.5,4.67,4.83,3.83,5,4.83,5,4.33,4.33
Spring,2015,TERRENCE COLLINS,CMY,9510,CMSTY & SUSTAIN,A,Lect,6,8,75%,7,4.5,4.5,4.33,4.17,4.83,4.67,4.67,4.17,4.33
Spring,2014,TERRENCE COLLINS,CMY,9510,INTRO TO GREEN CMSTY,A,Lect,9,11,82%,7.33,4.89,4.67,4.89,4.67,5,4.89,4.78,4.56,4.67
Spring,2013,TERRENCE COLLINS,CMY,9510,INTRO TO GREEN CMSTY,A,Lect,2,6,33%,5,4,4,4,4,5,5,4.5,4.5,4
Spring,2012,TERRENCE COLLINS,CMY,9510,INTRO TO GREEN CMSTY,A,Lect,4,5,80%,5,4.75,4.75,4.33,4.5,5,5,5,5,5
Spring,2010,TERRENCE COLLINS,CMY,9510,INTRO TO GREEN CMSTY,A,Lect,5,12,42%,5,5,5,5,4.6,5,4.8,5,4.8,5
Fall,2016,DANITH LY,CMY,9518,BIOORGANIC CHEMISTRY,A,Lect,3,3,100%,6,5,4,4.33,3.33,5,4.33,5,4.33,4
Fall,2014,DANITH LY,CMY,9518,BIOORGANIC CHEMISTRY,A,Lect,1,7,14%,8,5,4,4,3,5,5,5,5,5
Fall,2012,DANITH LY,CMY,9518,BIOORGANIC CHEMISTRY,A,Lect,3,6,50%,6,5,3,4,4,5,4.33,5,4.33,4
Fall,2011,SUBHA DAS,CMY,9518,BIOORGANIC CHEMISTRY,A,Lect,7,17,41%,5.86,4.57,3.57,3.57,3.57,4.43,4.43,4.29,4.14,4
Fall,2010,DANITH LY,CMY,9518,BIOORGANIC CHEMISTRY,A,Lect,15,31,48%,7,4.8,4.4,4.6,4.53,4.87,4.67,4.8,4.6,4.47
Fall,2015,DANITH LY,CMY,9519,BIOORGANIC CHEMISTRY,A,Lect,7,9,78%,6.29,4.29,3,3.43,4,4.29,3.71,4.57,4,4
Fall,2013,DANITH LY,CMY,9519,BIOORGANIC CHEMISTRY,A,Lect,9,12,75%,7.67,4.78,4.78,4.78,4.56,4.78,5,5,4.78,4.78
Spring,2012,DANITH LY,CMY,9519,BIOORGANIC CHEMISTRY,A,Lect,4,9,44%,7.25,4.25,4.5,5,4.75,4.75,4.5,4.25,4.5,4.75
Spring,2011,DANITH LY,CMY,9519,BIOORGANIC CHEMISTRY,A,Lect,12,25,48%,6.25,4.75,4.42,4.75,4.42,4.92,4.75,4.83,4.5,4.5
Spring,2010,DANITH LY,CMY,9519,BIOORGANIC CHEMISTRY,A,Lect,17,35,49%,6.13,4.69,4.31,4.44,3.94,4.75,4.25,4.5,4.5,4.25
Spring,2015,CHRISTOPHER SULLIVAN,CMY,9524,ENVIRONMENTL CHEMTRY,A,Lect,2,2,100%,9.5,5,5,5,5,5,5,5,5,5
Spring,2014,CHRISTOPHER SULLIVAN,CMY,9524,ENVIRONMENTL CHEMTRY,A,Lect,8,11,73%,9.5,4.88,4.38,4.38,4.63,4.75,4.5,5,4.63,4.63
Spring,2013,CHRISTOPHER SULLIVAN,CMY,9524,ENVIRONMENTL CHEMTRY,A,Lect,3,9,33%,11,4.33,4.33,4.67,4.67,4.67,4.67,4.67,4.67,4.67
Fall,2011,CATALINA ACHIM,CMY,9525,TRANSTN METAL CHEM,A,Lect,5,6,83%,5,4.8,3.8,3.6,3.4,3.8,3.8,4.6,4.4,3.4
Spring,2016,GARY PATTERSON,CMY,9531,POLYMER SCIENCE,A,Lect,2,4,50%,6.5,5,5,5,5,5,5,5,5,5
Fall,2016,GARY PATTERSON,CMY,9531,POLYMER SCIENCE,A,Lect,3,5,60%,5,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
Spring,2015,GARY PATTERSON,CMY,9531,POLYMER SCIENCE,A,Lect,1,4,25%,2,5,5,5,5,5,5,5,5,5
Fall,2011,GARY PATTERSON,CMY,9531,POLYMER SCIENCE,A,Lect,6,8,75%,5.5,5,4.5,4.83,4.5,4.83,4.67,4.83,4.67,4.67
Spring,2012,NEWELL WASHBURN,CMY,9534,CHM APP ENG CONV STR,A,Lect,4,6,67%,8,5,4.25,4.25,4.25,5,4.5,5,4.5,4.5
Fall,2012,MAUMITA MANDAL,CMY,9535,APPLD MCML BIOPH TCH,A,Lect,3,3,100%,9,3.33,3,3.67,3,4.67,3.67,2.33,2.67,3.33
Spring,2015,KEVIN NOONAN,CMY,9536,TRANS MET CAT ORG,A,Lect,2,7,29%,11,4.5,5,4.5,3.5,5,4.5,5,4.5,4.5
Spring,2016,MARIA KURNIKOVA,CMY,9560,COMPUTATNL CHEMISTRY,1,Lect,2,2,100%,8,4,3.5,3.5,3.5,4.5,3.5,5,3.5,3.5
Spring,2015,MARIA KURNIKOVA,CMY,9560,COMPUTATNL CHEMISTRY,1,Lect,7,7,100%,7.14,4.43,4.43,4.14,3.43,4.57,4.14,4.57,4.14,4.14
Spring,2014,MARIA KURNIKOVA,CMY,9560,COMPUTATNL CHEMISTRY,1,Lect,4,6,67%,11.75,4.75,4.75,4.75,4.5,4.5,4.5,5,4.33,4.5
Spring,2014,MARIA KURNIKOVA,CMY,9560,COMPUTATNL CHEMISTRY,A,Lect,5,6,83%,12.4,4.8,4.6,4.8,4.4,4.6,4.6,5,4.6,4.6
Fall,2012,MARIA KURNIKOVA,CMY,9560,COMPUTATNL CHEMISTRY,A,Lect,3,4,75%,7,4.33,5,5,4,5,4.67,5,4.33,4.33
Fall,2011,MARIA KURNIKOVA,CMY,9560,COMPUTATNL CHEMISTRY,A,Lect,4,5,80%,5.75,4,3.75,3.25,3.75,3.75,4,5,3.75,3.5
Fall,2010,MARIA KURNIKOVA,CMY,9560,MOLE MODEL COMP CHEM,A,Lect,2,6,33%,8,4.5,4.5,4,4,4.5,4.5,4.5,4,4
Fall,2016,ECKARD MUNCK,CMY,9603,MATH ANALYS CHEMSTRY,A1,Lect,7,9,78%,6,3.86,4,4,3.57,4.29,3.86,5,3.71,3.57
Fall,2015,ECKARD MUNCK,CMY,9603,MATH ANALYS CHEMSTRY,A1,Lect,2,5,40%,9.5,4,4,4,4,4,4,4,4,4
Fall,2014,"MUNCK, E. (co-taught)",CMY,9603,MATH ANALYS CHEMSTRY,A1,Lect,4,7,57%,6.5,5,5,5,5,5,5,5,5,5
Fall,2014,"BOMINAAR, E. (co-taught)",CMY,9603,MATH ANALYS CHEMSTRY,A1,Lect,4,7,57%,6,5,3.25,4,4,4.75,4.5,4.75,4,4.25
Fall,2013,ECKARD MUNCK,CMY,9603,MATH ANALYS CHEMSTRY,A1,Lect,5,5,100%,7.4,4.8,4.2,4.2,4.6,4.8,4.8,5,4.6,4.4
Fall,2012,ECKARD MUNCK,CMY,9603,MATH ANALYS CHEMSTRY,A1,Lect,6,6,100%,6,5,4.83,5,5,5,5,5,5,5
Fall,2011,ECKARD MUNCK,CMY,9603,MATH ANALYS CHEMSTRY,A1,Lect,5,7,71%,9.2,4.4,2.8,3.2,3.4,3.2,3.6,5,3.6,3.8
Fall,2010,ECKARD MUNCK,CMY,9603,MATH ANALYS CHEMSTRY,A1,Lect,5,9,56%,8.6,5,4.2,4.2,4,5,5,5,4.8,4.8
Spring,2016,GARY PATTERSON,CMY,9604,INTRO CHEM KINETICS,A4,Lect,1,3,33%,14,5,5,5,5,5,5,5,5,5
Fall,2016,GARY PATTERSON,CMY,9604,INTRO CHEM KINETICS,A1,Lect,1,2,50%,5,5,5,5,5,5,5,5,5,5
Spring,2015,GARY PATTERSON,CMY,9604,INTRO CHEM KINETICS,A4,Lect,3,5,60%,6,5,4.67,4.67,5,4.67,4.67,5,4.67,4.67
Spring,2016,GARY PATTERSON,CMY,9611,CHEMICAL THERMODYNMC,A3,Lect,2,4,50%,14,4.5,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Fall,2016,GARY PATTERSON,CMY,9611,CHEMICAL THERMODYNMC,A2,Lect,5,7,71%,5.6,4.6,4.2,4.6,4.8,4.8,4.6,5,4.2,4.2
Spring,2015,GARY PATTERSON,CMY,9611,CHEMICAL THERMODYNMC,A3,Lect,3,9,33%,7,4.67,3.67,3.67,5,4.33,4,4.67,4.33,4
Spring,2014,GARY PATTERSON,CMY,9611,CHEMICAL THERMODYNMC,A3,Lect,6,7,86%,8.67,5,5,5,5,5,5,5,5,4.83
Fall,2012,GARY PATTERSON,CMY,9611,CHEMICAL THERMODYNMC,A2,Lect,3,6,50%,8,4.33,4.67,4.67,4,4.67,4.33,3.67,4.33,4.33
Fall,2011,GARY PATTERSON,CMY,9611,CHEMICAL THERMODYNMC,A2,Lect,6,12,50%,7.5,4,4.17,4.33,4.17,4.5,4.17,4.17,4.33,4.33
Fall,2010,GARY PATTERSON,CMY,9611,CHEMICAL THERMODYNMC,A2,Lect,3,8,38%,8,5,5,5,5,5,5,5,5,5
Fall,2011,LINDA PETEANU,CMY,9614,SPECTROSCOPY,A2,Lect,4,4,100%,7.25,5,4.75,4.75,4.75,4.75,5,4.75,4.75,4.75
Fall,2014,HYUNG KIM,CMY,9700,INTRO TO RESEARCH,A,Lect,11,14,79%,3.09,4.13,4.38,4.25,4.38,4.25,4.25,4.5,4.25,4.5
Fall,2016,ECKARD MUNCK,CMY,9701,QUANTUM CHEMISTRY I,A,Lect,3,4,75%,11,5,5,4.67,4.67,5,5,5,5,5
Fall,2015,ECKARD MUNCK,CMY,9701,QUANTUM CHEMISTRY I,A,Lect,1,3,33%,2,5,5,5,5,3,5,5,5,3
Fall,2014,ECKARD MUNCK,CMY,9701,QUANTUM CHEMISTRY I,A,Lect,4,4,100%,7.25,5,5,5,4.5,5,4.75,5,5,5
Fall,2013,ECKARD MUNCK,CMY,9701,QUANTUM CHEMISTRY I,A,Lect,7,7,100%,8,5,5,4.57,5,5,5,5,5,5
Fall,2012,ECKARD MUNCK,CMY,9701,QUANTUM CHEMISTRY I,A,Lect,3,5,60%,9,5,4.67,4.67,4.67,4.67,5,5,4.67,4.67
Fall,2011,ECKARD MUNCK,CMY,9701,QUANTUM CHEMISTRY I,A,Lect,3,3,100%,8,5,4.67,5,4.67,5,5,5,5,5
Fall,2010,ECKARD MUNCK,CMY,9701,QUANTUM CHEMISTRY I,A,Lect,4,10,40%,9.5,5,4.5,4.5,4.25,4.75,5,5,4.5,5
Spring,2016,HYUNG KIM,CMY,9702,STATCL MECH & DYNAMC,A,Lect,2,2,100%,16,5,5,5,5,5,5,5,5,5
Spring,2013,HYUNG KIM,CMY,9702,STATCL MECH & DYNAMC,A,Lect,2,3,67%,5,5,4,4,4.5,5,5,5,5,5
Fall,2016,BRUCE ARMITAGE,CMY,9705,CHEMOSNSRS BIOSNSRS,A,Lect,5,10,50%,9.8,5,4.6,4.6,4.8,4.8,4.8,5,4.8,4.6
Spring,2012,MARCEL BRUCHEZ,CMY,9705,CHEMOSNSRS BIOSNSRS,A,Lect,3,3,100%,11,4.33,4.33,4,4.67,4.67,4.67,4.67,4.67,4
Fall,2010,BRUCE ARMITAGE,CMY,9705,CHEMOSNSRS BIOSNSRS,A,Lect,11,14,79%,9.09,4.91,4.64,4.73,4.64,4.91,5,4.91,5,4.82
Fall,2015,RONGCHAO JIN,CMY,9707,NANOPARTICLES,A,Lect,9,13,69%,8,4,3.67,4.22,3.56,4.44,4,4.11,3.56,3.67
Fall,2014,RONGCHAO JIN,CMY,9707,NANOPARTICLES,A,Lect,14,18,78%,9.15,4.71,4.71,4.71,4.5,4.71,4.71,5,4.79,4.71
Fall,2013,RONGCHAO JIN,CMY,9707,NANOPARTICLES,A,Lect,18,25,72%,7.17,4.44,4.56,4.56,4.44,4.72,4.72,4.61,4.5,4.5
Fall,2012,RONGCHAO JIN,CMY,9707,NANOPARTICLES,A,Lect,12,16,75%,8.5,4.75,4.67,4.83,4.75,4.83,4.75,4.92,4.83,4.75
Fall,2011,RONGCHAO JIN,CMY,9707,NANOPARTICLES,A,Lect,9,16,56%,7,4.89,4.67,5,4.67,5,5,5,5,5
Fall,2010,RONGCHAO JIN,CMY,9707,NANOPARTICLES,A,Lect,8,16,50%,7.63,4.63,4.75,4.5,4.5,4.88,4.88,5,4.63,4.63
Spring,2012,MIGUEL LLINAS,CMY,9708,QUANTUM CHEM II,A,Lect,2,3,67%,8,5,5,5,5,5,5,5,5,5
Spring,2016,TERRENCE COLLINS,CMY,9710,CMSTY & SUSTAIN,A,Lect,7,8,88%,6.29,5,5,5,5,5,5,5,5,5
Spring,2015,TERRENCE COLLINS,CMY,9710,CMSTY & SUSTAIN,A,Lect,4,7,57%,8.75,4.5,4.75,4.75,5,5,4.75,5,4.5,4.75
Spring,2014,TERRENCE COLLINS,CMY,9710,INTRO TO GREEN CMSTY,A,Lect,7,11,64%,9.71,4.71,5,4.86,4.71,5,4.71,5,4.86,4.86
Spring,2013,TERRENCE COLLINS,CMY,9710,INTRO TO GREEN CMSTY,A,Lect,9,14,64%,8,5,4.78,4.89,4.78,5,4.78,4.89,4.78,4.89
Spring,2012,TERRENCE COLLINS,CMY,9710,INTRO TO GREEN CMSTY,A,Lect,8,11,73%,7.63,4.88,4.63,4.63,4.5,4.88,4.63,4.88,4.75,4.88
Spring,2010,TERRENCE COLLINS,CMY,9710,INTRO TO GREEN CMSTY,A,Lect,5,8,63%,5.6,4.8,4.4,4.8,4.6,5,4.6,4.8,4.4,4.6
Fall,2016,SUSAN GRAUL,CMY,9711,PHYSCL ORGANIC CHEM,A,Lect,4,6,67%,11,4.75,5,5,4.75,4.75,4.75,5,4.75,4.75
Fall,2015,SUSAN GRAUL,CMY,9711,PHYSCL ORGANIC CHEM,A,Lect,9,12,75%,11,4,4.22,4.11,3.78,3.78,4,4.67,4,3.67
Fall,2014,SUSAN GRAUL,CMY,9711,PHYSCL ORGANIC CHEM,A,Lect,6,7,86%,9,4.6,4.83,5,4.83,4.83,4.5,4.83,4.67,4.67
Fall,2013,SUSAN GRAUL,CMY,9711,PHYSCL ORGANIC CHEM,A,Lect,19,22,86%,9.89,4.61,4.47,4.53,4.37,4.42,4.58,4.84,4.63,4.58
Fall,2011,SUSAN GRAUL,CMY,9711,PHYSCL ORGANIC CHEM,A,Lect,3,3,100%,10,4.67,4.67,4.67,4,4.33,4.67,5,4.33,4
Fall,2010,SUSAN GRAUL,CMY,9711,PHYSCL ORGANIC CHEM,A,Lect,1,3,33%,8,5,4,5,3,5,5,5,4,4
Fall,2016,CATALINA ACHIM,CMY,9712,COM SCI RES,A1,Lect,4,5,80%,8.75,5,4.5,4.75,5,4.5,4.75,5,4.75,4.5
Fall,2015,CATALINA ACHIM,CMY,9712,COM SCI RES,A1,Lect,8,10,80%,6.88,5,4.88,4.88,5,5,4.88,5,5,4.88
Fall,2010,"JIN, R. (co-taught)",CMY,9712,ETH COMM ISS SCI RSC,A2,Lect,3,5,60%,5,4.33,4.67,5,4.33,5,5,5,4.33,5
Fall,2010,"ACHIM, C. (co-taught)",CMY,9712,ETH COMM ISS SCI RSC,A2,Lect,3,5,60%,5,5,4.67,5,5,5,5,5,4.67,5
Spring,2016,GLORIA SILVA,CMY,9714,ADV ORGANIC CHEMSTRY,A,Lect,5,6,83%,14.2,5,4.2,4.4,4.2,4.4,4,4.2,4.2,4
Spring,2015,GLORIA SILVA,CMY,9714,ADV ORGANIC CHEMSTRY,A,Lect,5,6,83%,9.8,4.8,4.8,4.8,4.8,4.8,5,4.8,4.8,4.8
Spring,2014,GLORIA SILVA,CMY,9714,ADV ORGANIC CHEMSTRY,A,Lect,3,9,33%,10,5,5,5,5,5,5,5,5,5
Spring,2013,GLORIA SILVA,CMY,9714,ADV ORGANIC CHEMSTRY,A,Lect,9,13,69%,11.78,4.78,4.67,4.78,4.78,4.67,4.67,4.89,4.44,4.56
Spring,2012,GLORIA SILVA,CMY,9714,ADV ORGANIC CHEMSTRY,A,Lect,11,14,79%,8.55,4.73,4.45,4.73,4.82,4.64,4.73,4.91,4.73,4.73
Spring,2011,GLORIA SILVA,CMY,9714,ADV ORGANIC CHEMSTRY,A,Lect,11,12,92%,10.45,4.55,4.64,4.64,4.45,4.27,4.45,4.91,4.64,4.36
Spring,2010,GLORIA SILVA,CMY,9714,ADV ORGANIC CHEMSTRY,A,Lect,7,9,78%,8.43,4.71,4.71,4.57,4.86,4.71,4.71,5,4.71,4.71
Fall,2016,TOMASZ KOWALEWSKI,CMY,9715,PHY CHEM MACROMOLEC,A,Lect,2,3,67%,8,4.5,4.5,5,3,5,4.5,5,4.5,4
Fall,2015,JAMES SCHNEIDER,CMY,9715,PHY CHEM MACROMOLEC,A,Lect,5,8,63%,11,4,4.4,4.2,3.8,4,3.4,4.2,3.8,4.2
Fall,2014,TOMASZ KOWALEWSKI,CMY,9715,PHY CHEM MACROMOLEC,A,Lect,8,10,80%,10.14,4.63,4.25,4.38,3.75,4.25,4.38,4.75,4,3.75
Fall,2013,JAMES SCHNEIDER,CMY,9715,PHY CHEM MACROMOLEC,A,Lect,3,8,38%,12.5,3.67,4.33,4.67,3.67,4,3.67,4.33,4,4.33
Fall,2012,TOMASZ KOWALEWSKI,CMY,9715,PHY CHEM MACROMOLEC,A,Lect,8,13,62%,11,4.25,3.13,3.88,3.13,4,3.63,4.13,3.63,3.63
Fall,2011,JAMES SCHNEIDER,CMY,9715,PHY CHEM MACROMOLEC,A,Lect,1,2,50%,11,4,4,5,5,5,5,5,5,5
Spring,2016,GLORIA SILVA,CMY,9716,BIOACTV NATRL PRODCT,A,Lect,3,5,60%,12,5,5,5,5,5,5,5,5,5
Spring,2015,GLORIA SILVA,CMY,9716,BIOACTV NATRL PRODCT,A4,Lect,7,10,70%,8.57,4.71,4.71,4.86,4.71,4.71,4.71,4.71,4.57,4.71
Spring,2014,GLORIA SILVA,CMY,9716,BIOACTV NATRL PRODCT,A4,Lect,5,6,83%,6.2,5,4.8,4.4,4,4.6,4.6,5,4.2,4.4
Spring,2013,GLORIA SILVA,CMY,9716,BIOACTV NATRL PRODCT,A4,Lect,3,6,50%,11.33,4.67,4.67,4.33,4.67,4.67,5,5,4.67,4.67
Spring,2012,GLORIA SILVA,CMY,9716,BIOACTV NATRL PRODCT,A4,Lect,9,13,69%,6.33,4.67,4.89,4.89,4.67,4.67,4.78,5,4.78,4.44
Fall,2014,"COLLINS, T. (co-taught)",CMY,9717,ORGANOTRAN MET CHEM,A,Lect,4,5,80%,9,5,5,5,5,5,5,5,5,5
Fall,2014,"RYABOV, A. (co-taught)",CMY,9717,ORGANOTRAN MET CHEM,A,Lect,4,5,80%,8.75,4.75,4.75,4.75,4.5,5,5,4.25,4.75,4.75
Fall,2010,"COLLINS, T. (co-taught)",CMY,9717,ORGANOTRAN MET CHEM,A,Lect,5,5,100%,7.25,4,3.75,3.5,3.5,3.5,3.75,3.75,3.5,3.5
Fall,2010,"RYABOV, A. (co-taught)",CMY,9717,ORGANOTRAN MET CHEM,A,Lect,5,5,100%,6.5,4.75,5,4.75,5,4.75,4.75,5,4.75,4.75
Fall,2016,DANITH LY,CMY,9718,BIOORGANIC CHEMISTRY,A,Lect,5,10,50%,7.4,4.8,4.8,4.8,4.8,5,5,5,4.8,4.8
Fall,2014,DANITH LY,CMY,9718,BIOORGANIC CHEMISTRY,A,Lect,11,17,65%,9.91,4.55,3.73,4.45,4,5,4.45,4.82,4.36,4.36
Fall,2012,DANITH LY,CMY,9718,BIOORGANIC CHEMISTRY,A,Lect,3,7,43%,9,5,5,5,5,5,5,5,5,5
Fall,2011,SUBHA DAS,CMY,9718,BIOORGANIC CHEMISTRY,A,Lect,4,8,50%,9.5,4.5,3.75,3.75,3.5,4.75,4.25,4.5,4.25,4.25
Fall,2010,DANITH LY,CMY,9718,BIOORGANIC CHEMISTRY,A,Lect,6,6,100%,12,5,4.67,4.83,5,5,5,5,5,5
Fall,2015,DANITH LY,CMY,9719,BIOORGANIC CHEMISTRY,A,Lect,13,15,87%,8.69,4.77,4.38,4.54,4.15,4.92,4.54,4.92,4.46,4.69
Fall,2013,DANITH LY,CMY,9719,BIOORGANIC CHEMISTRY,A,Lect,10,12,83%,8.7,4.2,2.9,3.4,3,4.4,3.8,4.33,3.5,3.6
Spring,2012,DANITH LY,CMY,9719,BIOORGANIC CHEMISTRY,A,Lect,4,7,57%,12,4.75,4.5,5,4.25,5,4.75,4.5,4.5,4.25
Spring,2011,DANITH LY,CMY,9719,BIOORGANIC CHEMISTRY,A,Lect,5,7,71%,9.5,4.8,5,5,4.4,5,4.6,5,5,5
Spring,2010,DANITH LY,CMY,9719,BIOORGANIC CHEMISTRY,A,Lect,1,7,14%,8,5,5,5,4,5,4,5,5,5
Fall,2016,YISONG GUO,CMY,9720,PHYSCL INORGNC CHEM,A,Lect,2,3,67%,14,4.5,4,4.5,4.5,4.5,4.5,5,4,4.5
Fall,2015,YISONG GUO,CMY,9720,PHYSCL INORGNC CHEM,A,Lect,4,4,100%,8.75,5,5,5,5,4.75,4.75,5,5,5
Fall,2014,YISONG GUO,CMY,9720,PHYSCL INORGNC CHEM,A,Lect,4,5,80%,12.5,4.5,5,4.5,4.75,4.5,4.5,5,4.75,4.75
Spring,2010,MICHAEL HENDRICH,CMY,9720,PHYSCL INORGNC CHEM,A,Lect,4,5,80%,9.5,3.25,3,3.75,3,3.75,4,4,3.25,3.5
Fall,2015,"COLLINS, T. (co-taught)",CMY,9722,OXIDATN INORGNC CHEM,A,Lect,5,7,71%,6.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
Fall,2015,"RYABOV, A. (co-taught)",CMY,9722,OXIDATN INORGNC CHEM,A,Lect,5,7,71%,8.8,5,5,5,5,5,5,5,5,5
Fall,2013,ALEXANDER RYABOV,CMY,9722,OXIDATN INORGNC CHEM,A,Lect,8,10,80%,8.75,4.75,4.25,4.13,4.13,4.75,4.38,4.13,4.5,4.38
Fall,2011,"COLLINS, T. (co-taught)",CMY,9722,OXIDATN INORGNC CHEM,A,Lect,3,8,38%,2,5,5,5,5,5,5,5,5,5
Fall,2011,"RYABOV, A. (co-taught)",CMY,9722,OXIDATN INORGNC CHEM,A,Lect,3,8,38%,7,5,5,5,4.67,5,4.67,5,5,5
Fall,2013,TOMASZ KOWALEWSKI,CMY,9723,PROXML PROBE TECHNQS,A,Lect,6,9,67%,10,4.33,3.67,3.67,4,4,4,4.33,4,3.67
Fall,2010,TOMASZ KOWALEWSKI,CMY,9723,PROXML PROBE TECHNQS,A,Lect,5,9,56%,8,4.4,4.8,4.6,4,4.6,4.2,4.8,4,4
Spring,2015,CHRISTOPHER SULLIVAN,CMY,9724,ENVIRONMNTL CHEMSTRY,A,Lect,4,4,100%,12.75,4.5,4.75,5,4.25,4.75,4.75,4.25,4.75,4.5
Spring,2014,CHRISTOPHER SULLIVAN,CMY,9724,ENVIRONMNTL CHEMSTRY,A,Lect,5,9,56%,9.8,5,4.6,5,5,5,4.8,5,4.6,4.8
Spring,2013,CHRISTOPHER SULLIVAN,CMY,9724,ENVIRONMNTL CHEMSTRY,A,Lect,6,7,86%,10,4.5,3.33,3.67,4.5,4.83,4.33,4.33,3.67,3.5
Fall,2011,CATALINA ACHIM,CMY,9725,TRANSTN METAL CHEM,A,Lect,9,12,75%,10.67,4.67,4.22,3.67,4.22,3.78,4.11,4.89,4.22,3.44
Spring,2014,LINDA PETEANU,CMY,9726,SPECTROSCOPY,A3,Lect,6,9,67%,9.5,4.33,4.33,4.33,4.5,4.67,4.5,4.83,4.33,4.33
Spring,2014,LINDA PETEANU,CMY,9728,APPLICATIONS OF SPEC,A4,Lect,6,8,75%,8.5,4.67,4.67,4.5,4.67,4.83,4.67,5,4.67,4.67
Fall,2016,STEFAN BERNHARD,CMY,9733,CHEMISTRY & LIGHT,A,Lect,4,7,57%,6.5,4.75,4.25,4.5,3.75,5,4.75,4.75,4.5,4.75
Fall,2015,STEFAN BERNHARD,CMY,9733,CHEMISTRY & LIGHT,A,Lect,2,2,100%,5,5,5,5,5,5,5,5,5,5
Fall,2014,STEFAN BERNHARD,CMY,9733,CHEMISTRY & LIGHT,A,Lect,4,6,67%,4.25,3.5,2.5,3.25,4,4,3.75,4.25,3.25,3
Fall,2013,STEFAN BERNHARD,CMY,9733,CHEMISTRY & LIGHT,A,Lect,8,15,53%,5.75,3.13,3.25,3.25,3.43,3.25,3.38,4,3.38,3.25
Fall,2012,STEFAN BERNHARD,CMY,9733,CHEMISTRY & LIGHT,A,Lect,10,13,77%,5.9,3.9,3.7,3.7,3.9,4.3,4.4,4.6,4,4
